method,seed,sample_index,true_class,original_class,counterfactual_class,time_seconds,num_grad_updates_used,EN,IM1,IM2,is_satisfactory
C,42,8252,1,1,1,2.544171199959237,500,11.825461387634277,1.0,0.5611401796340942,0
D,42,8252,1,1,1,3.0699847000068985,500,16.16242847442627,1.0,0.5847952365875244,0
E,42,8252,1,1,1,1.9843163000186905,500,11.635062408447265,1.0,0.5604362487792969,0
F,42,8252,1,1,1,2.5312072999658994,500,16.130312347412108,1.0,0.584888219833374,0
A,43,8252,1,1,1,2.187804799992591,500,0.020544402778614315,1.0,0.7471944093704224,0
B,43,8252,1,1,1,2.7501472999574617,500,14.379533767700195,1.0,0.6168869733810425,0
C,43,8252,1,1,1,2.557030899974052,500,11.825461387634277,1.0,0.5611401796340942,0
D,43,8252,1,1,1,3.05855660000816,500,16.16242847442627,1.0,0.5847952365875244,0
E,43,8252,1,1,1,1.9726895000203513,500,11.635062408447265,1.0,0.5604362487792969,0
F,43,8252,1,1,1,2.8078896999941207,500,16.130312347412108,1.0,0.584888219833374,0
A,44,8252,1,1,1,2.558947100013029,500,0.020544402778614315,1.0,0.7471944093704224,0
B,44,8252,1,1,1,3.0715231000212952,500,14.379533767700195,1.0,0.6168869733810425,0
C,44,8252,1,1,1,2.5957460000063293,500,11.825461387634277,1.0,0.5611401796340942,0
D,44,8252,1,1,1,3.0970322000212036,500,16.16242847442627,1.0,0.5847952365875244,0
E,44,8252,1,1,1,2.0053086999687366,500,11.635062408447265,1.0,0.5604362487792969,0
F,44,8252,1,1,1,2.6162352999672294,500,16.130312347412108,1.0,0.584888219833374,0
